Season,Day_of_the_week,DHI,DNI,GHI,Wind_speed,Humidity,Temperature,PV_production,Wind_production
1,6,137.4,851.0,766.0,1.4,37.896,20.84,9859,461
2,0,0.0,0.0,0.0,1.64,77.298,13.06,15,4890
2,5,114.8,687.4,671.6,2.16,47.108,23.08,9959,336
1,5,21.4,0.2,21.6,3.3,80.844,10.76,417,1342
1,1,145.8,305.4,312.0,4.3,60.464,14.56,6253,455
1,5,0.0,0.0,0.0,1.12,54.268,12.48,11,240
2,0,4.6,6.8,4.8,1.52,68.368,17.86,1613,3626
1,2,140.8,718.4,731.0,4.92,54.05,17.06,7293,1835
1,6,225.6,274.0,387.6,5.58,57.976,9.26,6453,2877
1,6,0.0,0.0,0.0,2.44,82.566,9.42,21,2564
1,4,140.2,523.6,506.0,2.92,56.182,15.66,9139,2695
